Name,Status,Native,population_1996,population_2006,population_2017,population_2023
Al-'Ayyāṭ,Markaz,مركز العياط,280872.0,352317.0,492178.0,557971.0
Al-Badrashayn,Markaz,مركز البدرشين,285858.0,383610.0,537133.0,606623.0
Al-Ḥawāmidiyah,Kism urban and rural parts,قسم الحوامدية,115376.0,140408.0,190847.0,208535.0
Al-Jīzah,Kism fully urban,قسم الجيزة,238567.0,251596.0,285723.0,308253.0
Al-Jīzah,Markaz,مركز الجيزة,180568.0,241506.0,367663.0,413839.0
Al-'Umrāniyah,Kism fully urban,قسم العمرانية,537638.5612903226,556560.2875647668,366066.0,394884.0
Al-Wāḥāt al-Baḥariyah,Kism urban and rural parts,قسم الواحات البحرية,25116.0,33344.0,39248.0,43810.0
Al-Warrāq,Kism urban and rural parts,قسم الوراق,395258.0,509129.0,722083.0,797066.0
Ash-Shaykh Zāyid,Kism fully urban,قسم الشيخ زايد,0.0,29422.0,90699.0,97848.0
Aṣ-Ṣaff,Markaz,مركز الصف,224572.0,302804.0,418327.0,472963.0
Aṭfīḥ,Markaz,مركز أطفيح,199548.0,266970.0,368293.0,417951.0
Aṭ-Ṭālbīah,Kism fully urban,قسم الطالبيه,537638.5612903226,556560.2875647668,457667.0,493760.0
Awsīm,Markaz,مركز أوسيم,193751.0,275059.0,382779.0,430609.0
Būlāq al-Dakrūr,Kism fully urban,قسم بولاق الدكرور,537638.5612903226,701655.0,960031.0,1035628.0
Imbābah,Kism fully urban,قسم امبابة,523265.0,598882.0,632599.0,682349.0
Imbābah,Markaz,مركز إمبابة,537638.5612903226,391363.0,515512.0,586089.0
Kirdāsah,Markaz,مركز كرداسة,537638.5612903226,556560.2875647668,447593.0,501949.0
Madīnat Sittah Uktūbar 2,Kism fully urban,قسم ثان 6 أكتوبر,537638.5612903226,115302.0,196373.0,211811.0
Madīnat Sittah Uktūbar 1 & 3,Kism fully urban,قسم أول 6 أكتوبر قسم ثالث 6 أكتوبر,537638.5612903226,38791.0,152497.0,164491.0
Al-Minūfiyah,Governorate,المنوفية,2760429.0,3270431.0,4301601.0,4736945.0
Al-Bājūr,Markaz,مركز الباجور,256128.0,305923.0,400412.0,438962.0
Ashmūn,Markaz,مركز أشمون,534799.0,639105.0,845486.0,926301.0
Ash-Shuhadā',Markaz,مركز الشهداء,219494.0,253881.0,344830.0,379468.0
Birkat as-Sab',Markaz,مركز بركة السبع,200972.0,239291.0,310116.0,340131.0
Madīnat as-Sādāt,Markaz,مركز و مدينة السادات,95191.0,143075.0,178012.0,198025.0
Minūf,Kism fully urban,قسم مدينة منوف,537638.5612903226,89262.0,112423.0,130417.0
Minūf,Markaz,مركز منوف,537638.5612903226,336129.0,440366.0,478163.0
Quwaysinā,Markaz,مركز قويسنا,318273.0,382457.0,494312.0,541112.0
Shibīn al-Kawm,Kism fully urban,قسم شبين الكوم,156794.0,177112.0,239624.0,277991.0
Shibīn al-Kawm,Markaz,مركز شبين الكوم,303759.0,352396.0,478640.0,519732.0
Sirs al-Layyānah,Kism fully urban,قسم سرس الليانة,44267.0,52653.0,69909.0,81097.0
Talā,Markaz,مركز تلا,264204.0,299147.0,387471.0,425546.0
Al-Minyā,Governorate,المنيا,3310129.0,4166299.0,5497095.0,6337595.0
Abū Qurqās,Markaz,مركز ابو قرقاص,378522.0,467716.0,601517.0,690958.0
Al-'Idwah,Markaz,مركز العدوة,156462.0,206962.0,280217.0,320746.0
Al-Minyā,Markaz,مركز المنيا,403466.0,523516.0,676181.0,769485.0
Al-Minyā 1,Kism fully urban,قسم أول المنيا,537638.5612903226,556560.2875647668,46735.0,57061.0
Al-Minyā 2,Kism fully urban,قسم ثان المنيا,537638.5612903226,556560.2875647668,108079.0,131954.0
Al-Minyā 3,Kism fully urban,قسم ثالث المنيا,537638.5612903226,556560.2875647668,89287.0,109006.0
Banī Mazār,Markaz,مركز بنى مزار,368458.0,463509.0,635679.0,731649.0
Dayr Mawās,Markaz,مركز دير مواس,244173.0,300379.0,409869.0,470766.0
Madīnat al-Minyā al-Jadīdah,New City,مدينة المنيا الجديدة,68.0,4567.0,15036.0,18357.0
Maghāghah,Markaz,مركز مغاغة,342477.0,435239.0,593259.0,683559.0
Malawiṭ Gharb,Markaz,مركز سمالوط غرب,537638.5612903226,556560.2875647668,485867.0,552908.0
Mallawī,Kism fully urban,قسم ملوى,119285.0,139929.0,183018.0,223435.0
Mallawī,Markaz,مركز ملوى,443582.0,562841.0,744368.0,847075.0
Maṭāy,Markaz,مركز مطاى,194236.0,238824.0,317865.0,367597.0
Samālūṭ,Markaz,مركز سمالوط,537638.5612903226,556560.2875647668,310118.0,363039.0
Al-Qāhirah,Governorate,القاهرة,6800991.0,7902085.0,9539673.0,10248385.0
15 Māyū,Kism fully urban,قسم 15 مايو,65560.0,90740.0,93574.0,100511.0
'Ābidīn,Kism fully urban,قسم عابدين,48704.0,42223.0,40321.0,43347.0
Ad-Darb al-Aḥmar,Kism fully urban,قسم الدرب الأحمر,78375.0,60488.0,58489.0,62837.0
'Ain Schams,Kism fully urban,قسم عين شمس,469030.0,525034.0,614391.0,660111.0
Al-Amīriīah,Kism fully urban,قسم الاميريه,164211.0,165407.0,152554.0,163925.0
Al-Azbakiyah,Kism fully urban,قسم الأزبكية,30375.0,28033.0,19763.0,21241.0
Al-Basātīn,Kism fully urban,قسم البساتين,326220.0,390894.0,495443.0,532191.0
Al-Jamāliyah,Kism fully urban,قسم الجمالية,59159.0,49834.0,36368.0,39077.0
Al-Khalīfah,Kism fully urban,قسم الخليفة,537638.5612903226,556560.2875647668,105235.0,113064.0
Al-Ma'ādī,Kism fully urban,قسم المعادي,70415.0,78122.0,88575.0,95194.0
Al-Marj,Kism fully urban,قسم المرج,251589.0,507035.0,798646.0,858032.0
Al-Ma'ṣarah,Kism fully urban,قسم المعصره,537638.5612903226,252780.0,270032.0,290148.0
Al-Maṭariyah,Kism fully urban,قسم المطرية,498670.0,498663.0,602485.0,647260.0
Al-Muqaṭṭam,Kism fully urban,قسم المقطم,537638.5612903226,556560.2875647668,224138.0,240799.0
Al-Mūskī,Kism fully urban,قسم الموسكي,28582.0,22294.0,16662.0,17908.0
Al-Qāhirah al-Jadīdah 1,Kism fully urban,قسم أول القاهرة الجديدة,537638.5612903226,27990.0,135834.0,145923.0
Al-Qāhirah al-Jadīdah 2,Kism fully urban,قسم ثان القاهرة الجديدة,537638.5612903226,40005.0,90668.0,97423.0
Al-Qāhirah al-Jadīdah 3,Kism fully urban,قسم ثالث القاهره الجديده,537638.5612903226,54344.0,70885.0,76142.0
Al-Waylī,Kism fully urban,قسم الوايلي,89758.0,77649.0,79292.0,85217.0
An-Nuzhah,Kism fully urban,قسم النزهة,154969.0,161946.0,231241.0,248464.0
Ash-Sharābiyah,Kism fully urban,قسم الشرابية,247433.0,215595.0,187201.0,201154.0
Ash-Shurūq,Kism fully urban,قسم الشروق,537638.5612903226,22570.0,87285.0,93759.0
As-Sāḥil,Kism fully urban,قسم الساحل,333929.0,305322.0,316421.0,339975.0
As-Salām 1,Kism fully urban,قسم أول السلام,304553.0,441000.0,480721.0,516440.0
As-Salām 2,Kism fully urban,قسم ثان السلام,52329.0,108000.0,153772.0,165186.0
As-Sayyidah Zaynab,Kism fully urban,قسم السيدة زينب,156142.0,132249.0,136278.0,146446.0
At-Tibbīn,Kism fully urban,قسم التبين,59366.0,68897.0,72040.0,77413.0
Aẓ-Ẓāhir,Kism fully urban,قسم الظاهر,67031.0,64009.0,71870.0,77236.0
Az-Zamālik,Kism fully urban,قسم الزمالك,15343.0,17365.0,14946.0,16064.0
Az-Zāwiyah al-Ḥamrā',Kism fully urban,قسم الزاوية الحمراء,306165.0,315465.0,318170.0,341866.0
Az-Zaytūn,Kism fully urban,قسم الزيتون,159172.0,156910.0,174176.0,187179.0
Bāb ash-Sha'riyah,Kism fully urban,قسم باب الشعرية,59956.0,54084.0,46673.0,50140.0
Būlāq,Kism fully urban,قسم بولاق,75098.0,62470.0,48147.0,51741.0
Dār as-Salām,Kism fully urban,قسم دار السلام,340708.0,430763.0,525638.0,564684.0
Hada'iq al-Qubbah,Kism fully urban,قسم حدائق القبة,304478.0,289758.0,316072.0,339612.0
Ḥulwān,Kism fully urban,قسم حلوان,537638.5612903226,396791.0,521239.0,560070.0
Madīnat an-Naṣr 1,Kism fully urban,قسم مدينة نصر أول,291571.0,501597.0,634818.0,681942.0
Madīnat an-Naṣr 2,Kism fully urban,قسم ثانى مدينه نصر,68156.0,75917.0,72182.0,77529.0
Madīnat Badr,Kism fully urban,قسم مدينة بدر,248.0,17158.0,31299.0,33602.0
Miṣr al-Jādidah,Kism fully urban,قسم مصر الجديدة,120977.0,113611.0,134116.0,144106.0
Miṣr al-Qadīmah,Kism fully urban,قسم مصر القديمة,228683.0,217390.0,250313.0,268920.0
Munsha'āt Nāṣr,Kism fully urban,قسم منشأة ناصر,168425.0,262050.0,258372.0,277575.0
Qaṣr an-Nīl,Kism fully urban,قسم قصر النيل,12935.0,10035.0,10563.0,11358.0
Rūd al-Faraj,Kism fully urban,قسم روض الفرج,178145.0,144510.0,145632.0,156505.0
Shubrā,Kism fully urban,قسم شبرا,83753.0,71118.0,76695.0,82421.0
Ṭurah,Kism fully urban,قسم طره,67270.0,94107.0,230438.0,246648.0
Al-Qalyūbyah,Governorate,القليوبية,3281135.0,4251672.0,5627420.0,6137688.0
Al-Khānkah,Kism fully urban,قسم الخانكه,55013.0,59077.0,76455.0,83981.0
Al-Khānkah,Markaz,مركز الخانكة,537638.5612903226,377014.0,572584.0,621221.0
Al-Khuṣūṣ,Kism fully urban,قسم الخصوص,537638.5612903226,291242.0,457852.0,502864.0
Al-Qanāṭir al-Khayriyah,Markaz,مركز القناطر الخيرية,296731.0,383102.0,505401.0,549392.0
Al-'Ubūr,Kism fully urban,قسم العبور,537638.5612903226,43600.0,130161.0,142955.0
Banhā,Markaz,مركز بنها,308833.0,376175.0,481287.0,522189.0
Banhā 1,Kism fully urban,قسم اول بنها,537638.5612903226,556560.2875647668,106409.0,116894.0
Banhā 2,Kism fully urban,قسم ثان بنها,537638.5612903226,556560.2875647668,64247.0,70575.0
Kafr Shukr,Markaz,مركز كفر شكر,123013.0,148351.0,188193.0,204576.0
Qahā,Kism urban and rural parts,قسم قها,537638.5612903226,35655.0,47723.0,52237.0
Qalyūb,Kism fully urban,قسم قليوب,77081.0,107303.0,146430.0,160831.0
Qalyūb,Markaz,مركز قليوب,264375.0,365892.0,559315.0,606830.0
Shubrā al-Khaymah 1,Kism fully urban,قسم أول شبرا الخيمة,416812.0,461689.0,481936.0,529337.0
Shubrā al-Khaymah 2,Kism fully urban,قسم ثان شبرا الخيمة,453963.0,563880.0,679578.0,746363.0
Sibīn al-Qanāṭir,Markaz,مركز شبين القناطر,338628.0,423783.0,538224.0,584885.0
Ṭūkh,Markaz,مركز طوخ,537638.5612903226,457208.0,591625.0,642558.0
Al-Uqṣor,Governorate,الأقصر,775551.0,959003.0,1250209.0,1400640.0
Al-Qarnah,Markaz,مركز القرنه,537638.5612903226,130146.0,164375.0,181237.0
Al-Uqṣur,Kism fully urban,قسم الأقصر,537638.5612903226,167646.0,242375.0,284952.0
Al-Uqṣur,Markaz,مركز الأقصر,537638.5612903226,116974.0,165248.0,183485.0
Armant,Markaz,مركز أرمنت,537638.5612903226,159809.0,174010.0,195011.0
Isnā,Markaz,مركز إسنا,279835.0,341908.0,431242.0,475034.0
Shurṭah Ṭībah,Markaz,مركز شرطة طيبة,537638.5612903226,56196.0,72959.0,80921.0
Al-Wādī al-Jadīd,Governorate,الوادي الجديد,141774.0,187263.0,241247.0,266926.0
Al-Wāḥāt al-Khārijah,Kism urban and rural parts,قسم الواحات الخارجة,537638.5612903226,74489.0,90014.0,105796.0
Balāṭ,Markaz,مركز بلاط,537638.5612903226,9279.0,12233.0,13094.0
Shurṭah al-Dākhlah,Markaz,مركز شرطة الداخلة,537638.5612903226,70949.0,89621.0,95500.0
Shurṭah al-Farāfirah,Markaz,مركز شرطة الفرافرة,7958.0,21930.0,35820.0,37669.0
Shurṭah Bārīs,Markaz,مركز شرطة باريس,537638.5612903226,10616.0,13559.0,14867.0
Ash-Sharqiyah,Governorate,الشرقية,4281068.0,5354041.0,7163824.0,7909342.0
Abū Ḥammād,Markaz,مركز أبو حماد,279487.0,347335.0,431895.0,467600.0
Abū Kabīr,Markaz,مركز أبوكبير,269952.0,317479.0,445193.0,495452.0
Al-Ḥusayniyah,Markaz,مركز الحسينية,537638.5612903226,283186.0,372484.0,404927.0
Al-Ibrāhīmiyah,Markaz,مركز الأبراهيمية,107680.0,127079.0,182470.0,201910.0
Al-Qanāyāt,Kism fully urban,قسم القنايات,36010.0,42563.0,62567.0,75621.0
Al-Qurayn,Kism fully urban,قسم القرين,51833.0,64453.0,83760.0,101238.0
Aṣ-Ṣaliḥiyah al-Jadīdah,Kism fully urban,قسم الصالحية الجديدة,8140.0,18957.0,52509.0,63459.0
Awlād Ṣaqr,Markaz,مركز أولاد صقر,145399.0,175665.0,226182.0,246145.0
Az-Zaqāzīq,Markaz,مركز الزقازيق,527055.0,652756.0,875376.0,937079.0
Az-Zaqāzīq 1,Kism fully urban,قسم اول الزقازيق,122173.0,133145.0,174989.0,211509.0
