Name,Status,Native,population_1996,population_2006,population_2017,population_2023
Būr Fuād 2,Kism fully urban,قسم ثان بورفؤاد,537638.5612903226,6719.0,11418.0,12063.0
Idārah Shurṭah Mīnā' Būr Sa'īd,Police-administrated Area,إدارة شرطة ميناء بورسعيد,379.0,556560.2875647668,705698.4640198511,784881.2686567164
Mubārak - Sharq at-Tafrī'tah,Kism fully urban,قسم مبارك - شرق التفريعة,537638.5612903226,2570.0,6932.0,7322.0
Dumyāṭ,Governorate,دمياط,913555.0,1097339.0,1496765.0,1618239.0
Az-Zarqā',Markaz,مركز الزرقا,99605.0,122713.0,168677.0,181638.0
Dumyāṭ,Markaz,مركز دمياط,537638.5612903226,237373.0,333335.0,356266.0
Dumyāṭ 1,Kism fully urban,قسم أول دمياط,78265.0,77295.0,109275.0,121433.0
Dumyāṭ 2,Kism fully urban,قسم ثان دمياط,537638.5612903226,129369.0,172218.0,191430.0
Fāraskūr,Markaz,مركز فارسكور,173433.0,200432.0,256052.0,275225.0
Idārah Shurṭah Mīnā' Dumyāṭ al-Jadīd,Police-administrated Area,إداره شرطه ميناء دمياط الجديد,537638.5612903226,556560.2875647668,705698.4640198511,784881.2686567164
Kafr al-Baṭṭīkh,Markaz,مركز كفر البطيخ,537638.5612903226,91815.0,132949.0,143291.0
Kafr Sa'd,Markaz,مركز كفر سعد,537638.5612903226,199323.0,264713.0,282762.0
Madīnat Dumyāṭ  al-Jadīdah,Kism fully urban,قسم مدينه دمياط الجديده,6520.0,27028.0,50147.0,55749.0
Ra's al-Bar,Kism fully urban,قسم رأس البر,7791.0,11991.0,9399.0,10445.0
Kafr ash-Shaykh,Governorate,كفر الشيخ,2223383.0,2620208.0,3362185.0,3718316.0
Al-Burulus,Markaz,مركز البرلس,138164.0,177976.0,235051.0,260814.0
Al-Ḥāmūl,Markaz,مركز الحامول,198296.0,249605.0,289375.0,319719.0
Ar-Riyād,Markaz,مركز الرياض,120472.0,136309.0,186159.0,205445.0
Biyalā,Kism fully urban,قسم بيلا,56759.0,66663.0,80971.0,90729.0
Biyalā,Markaz,مركز بيلا,147474.0,167115.0,216484.0,238418.0
Disūq,Kism fully urban,قسم دسوق,91318.0,106827.0,135725.0,152077.0
Disūq,Markaz,مركز دسوق,292124.0,331701.0,410946.0,452589.0
Fuwah,Markaz,مركز فوه,120806.0,137735.0,179002.0,198765.0
Kafr ash-Shaykh,Markaz,مركز كفر الشيخ,295539.0,345367.0,446627.0,492378.0
Kafr ash-Shaykh 1,Kism fully urban,قسم أول كفر الشيخ,98000.0,117000.0,140856.0,157829.0
Kafr ash-Shaykh 2,Kism fully urban,قسم ثان كفر الشيخ,26000.0,31000.0,36027.0,40368.0
Muṭūbis,Markaz,مركز مطوبس,185523.0,228802.0,302241.0,333635.0
Qallīn,Markaz,مركز قلين,173743.0,203552.0,265054.0,292751.0
Sīdī Sālim,Markaz,مركز سيدى سالم,278295.0,321163.0,437667.0,482799.0
Maṭrūḥ,Governorate,مطروخ,212001.0,323381.0,425624.0,547702.0
Aḍ-Ḍab'ah,Kism urban and rural parts,قسم الضبعة,38579.0,39178.0,49399.0,62207.0
Al-'Alamayn,Kism fully rural,قسم العلمين,537638.5612903226,52.0,9932.0,12580.0
Al-Ḥammām,Kism urban and rural parts,قسم الحمام,39326.0,56401.0,54010.0,66448.0
An-Najīlah,Kism urban and rural parts,قسم النجيله,11016.0,18338.0,27456.0,35155.0
As-Sāḥal ash-Shamāli,Kism fully urban,قسم الساحل الشمالى-جزء,537638.5612903226,536.0,67.0,89.0
As-Sallūm,Kism urban and rural parts,قسم السلوم,9052.0,12750.0,15808.0,20911.0
Marsā Maṭrūḥ,Kism urban and rural parts,قسم مرسى مطروح,80387.0,140977.0,188252.0,246333.0
Sīdī Barrānī,Kism urban and rural parts,قسم سيدى برانى,20689.0,33456.0,52612.0,67405.0
Sīwa,Kism urban and rural parts,قسم سيوة,12952.0,21693.0,28088.0,36574.0
Qinā,Governorate,قنا,2027603.0,2499964.0,3164281.0,3640916.0
Abū Ṭisht,Markaz,مركز أبو طشت,284926.0,359443.0,463728.0,536016.0
Al-Waqf,Markaz,مركز الوقف,55765.0,67498.0,81385.0,93045.0
Dishnā,Markaz,مركز دشنا,253374.0,310506.0,388476.0,447430.0
Farshūṭ,Markaz,مركز فرشوط,118568.0,145526.0,189074.0,216489.0
Madīnat Qinā al-Jadīdah,New City,مدينة قنا الجديدة,0.0,0.0,1529.0,1715.0
Naj' Ḥammādī,Markaz,مركز نجع حمادى,373504.0,451891.0,578237.0,667183.0
Naqādah,Markaz,مركز نقادة,116895.0,136668.0,170960.0,196963.0
Qifṭ,Markaz,مركز قفط,99873.0,122279.0,142425.0,164032.0
Qinā,Kism fully urban,قسم قنا,155382.0,201191.0,235647.0,264498.0
Qinā,Markaz,مركز قنا,278552.0,343247.0,448532.0,519022.0
Qūṣ,Markaz,مركز قوص,290764.0,361715.0,464288.0,534523.0
Sawhāj,Governorate,سوهاج,3123114.0,3747289.0,4967409.0,5727271.0
Akhmīm,Markaz,مركز أخميم,248191.0,301294.0,436619.0,503797.0
Al-Balyanā,Markaz,مركز البلينا,314696.0,381900.0,522154.0,601589.0
Al-Kawthar,Kism fully urban,قسم الكوثر,537638.5612903226,3036.0,4831.0,5603.0
Al-Marāghah,Markaz,مركز المراغة,256801.0,303161.0,392060.0,451722.0
Al-Munsha'āh,Markaz,مركز المنشأة,537638.5612903226,313400.0,401788.0,463206.0
Al-'Usayrāt,Markaz,مركز العسيرات,537638.5612903226,138580.0,194862.0,224298.0
Dar as-Salām,Markaz,مركز دار السلام,255235.0,308281.0,409269.0,471398.0
Jirjā,Kism urban and rural parts,قسم جرجا,95368.0,108007.0,145884.0,169144.0
Jirjā,Markaz,مركز جرجا,537638.5612903226,263850.0,330020.0,379869.0
Juhaynah al-Gharbiyah,Markaz,مركز جهينة الغربية,167839.0,200209.0,271128.0,312706.0
Madīnat Akhmīm al-Jadīdah,New City,مدينة أخميم الجديدة,0.0,0.0,0.0,784881.2686567164
Madīnat Sawhāj al-Jadīdah,New City,مدينة سوهاج الجديدة,0.0,57.0,174.0,201.0
Sāqultah,Markaz,مركز ساقلته,134839.0,160809.0,206296.0,237732.0
Sawhāj,Markaz,مركز سوهاج,320945.0,397200.0,533950.0,614601.0
Sawhāj 1,Kism fully urban,قسم اول سوهاج,107645.0,111921.0,131267.0,152291.0
Sawhāj 2,Kism fully urban,قسم ثان سوهاج,62772.0,78211.0,108721.0,126134.0
Ṭahṭā,Kism urban and rural parts,قسم طهطا,97526.0,111867.0,164060.0,189932.0
Ṭahṭā,Markaz,مركز طهطا,208189.0,244878.0,287736.0,331199.0
Ṭimā,Markaz,مركز طما,271454.0,320628.0,426590.0,491849.0
Sīnā' al-Janūbiyah,Governorate,جنوب سيناء,54806.0,150088.0,102018.0,116479.0
Abū Radīs,Kism urban and rural parts,قسم أبو رديس,13040.0,17813.0,16653.0,20661.0
Aṭ-Ṭūr,Kism urban and rural parts,قسم الطور,14142.0,26590.0,38867.0,45989.0
Dahab,Kism urban and rural parts,قسم دهب,3700.0,7494.0,2934.0,3169.0
Nuwaybi'a,Kism urban and rural parts,قسم نويبع,537638.5612903226,7970.0,7255.0,7737.0
Ras Sidr,Kism urban and rural parts,قسم رأس سدر,6584.0,12062.0,16410.0,18036.0
